npi,provider_name,entity_type,taxonomy_description,city,state
1376538991,COUNTY OF SANTA CLARA,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),SAN JOSE,CA
1376544320,STATE UNIVERSITY OF IOWA,NPI-2,General Acute Care Hospital,IOWA CITY,IA
1376600965,CITY & COUNTY OF SAN FRANCISCO,NPI-2,Ambulance,SAN FRANCISCO,CA
1376612044,JOAK AMERICAN HOMES  INC.,NPI-2,Custodial Care Facility  Adult Care Home,ANN ARBOR,MI
1376623538,KERN COUNTY HOSPITAL AUTHORITY,NPI-2,General Acute Care Hospital,BAKERSFIELD,CA
1376671008,THE LEARNING CENTER OF NORTHEAST ARKANSAS  INC.,NPI-2,Day Training  Developmentally Disabled Services,JONESBORO,AR
1376675785,SOUTH DAKOTA ACHIEVE,NPI-2,Clinic/Center  Developmental Disabilities,SIOUX FALLS,SD
1376695163,TOTAL TRANSIT INC,NPI-2,Non-emergency Medical Transport (VAN),GLENDALE,AZ
1376760835,HEALTH CARE & REHABILITATION SERVICES,NPI-2,Clinic/Center  Developmental Disabilities,BELLOWS FALLS,VT
1376967695,PEOPLECARE OF SOUTHERN COLORADO  LLC,NPI-2,In Home Supportive Care,PUEBLO,CO
1386305407,RT PCR TEST NEAR ME INC,NPI-2,Clinical Medical Laboratory,BRIDGEVIEW,IL
1386705119,BIKUR CHOLIM  INC.,NPI-2,Community/Behavioral Health,AIRMONT,NY
1386719128,WINSTON PSYCHIATRIC ASSOCIATES PA,NPI-2,Psychiatry & Neurology  Psychiatry,WINSTON SALEM,NC
1386746592,KENNEDY UNIVERSITY HOSPITAL INC.,NPI-2,General Acute Care Hospital,STRATFORD,NJ
1386754000,ARIZA QUALITY MEDICAL SERVICES INC,NPI-2,Home Health,MIAMI,FL
1386773273,COMMONWEALTH OF MASSACHUSETTS,NPI-2,Case Management,ARLINGTON,MA
1386853604,COUNTY OF SOLANO,NPI-2,Clinic/Center  Public Health  State or Local,FAIRFIELD,CA
1386854370,ARIZONA CONSUMER DIRECT PERSONAL CARE,NPI-2,Home Health,TUCSON,AZ
1386867380,PACESETTERS INCORPORATED,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,ALGOOD,TN
1386895175,DENTAL HEALTH GROUP  PA,NPI-2,Dentist,BLOOMFIELD HILLS,MI
1386905016,FALCK NORTHERN CALIFORNIA CORP.,NPI-2,Ambulance,HAYWARD,CA
1386914844,JLM VENTURES  INC.,NPI-2,Clinic/Center  Developmental Disabilities,LITTLE ROCK,AR
1396049987,COMMUNITY ASSISTANCE RESOURCES & EXTENDED SERVICES INC,NPI-2,Case Management,NEW YORK,NY
1396151791,CNYHHN INC,NPI-2,Case Management,UTICA,NY
1396756938,COUNTY OF LOS ANGELES,NPI-2,General Acute Care Hospital,LOS ANGELES,CA
1396767430,CENTERSTONE OF TENNESSEE  INC.,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),NASHVILLE,TN
1396822839,SAMARITAN DAYTOP VILLAGE  INC.,NPI-2,Substance Abuse Rehabilitation Facility,RICHMOND HILL,NY
1396887543,CAMDEN COUNTY PARTNERSHIP FOR CHILDREN,NPI-2,Case Management,CHERRY HILL,NJ
1396956462,BAKER HALL INC,NPI-2,Psychiatric Residential Treatment Facility,LACKAWANNA,NY
1407021900,PLANNED PARENTHOOD OF WISCONSIN,NPI-2,Clinic/Center  Ambulatory Family Planning Facility,MILWAUKEE,WI
1407025539,SUPPORT SOLUTIONS OF THE MID-SOUTH,NPI-2,Community/Behavioral Health,MEMPHIS,TN
1407063217,COMFORT HOME CARE LLC,NPI-2,Home Health,METHUEN,MA
1407271174,ENCARE  LLC.,NPI-2,In Home Supportive Care,JACKSON,TN
1407897309,HENNEPIN HEALTHCARE SYSTEM  INC,NPI-2,General Acute Care Hospital,MINNEAPOLIS,MN
1407909930,ALABAMA DEPARTMENT OF MENTAL HEALTH AND MENTAL RETARDATION,NPI-2,Community/Behavioral Health,MONTGOMERY,AL
1407932056,YALE NEW HAVEN HEALTH AT HOME  INC.,NPI-2,Home Health,MILFORD,CT
1407969728,CENTRAL OKLAHOMA AMERICAN INDIAN HEALTH COUNCIL  INC.,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),OKLAHOMA CITY,OK
1417001942,FAMILY CENTERED SERVICES OF AK,NPI-2,Community/Behavioral Health,FAIRBANKS,AK
1417005257,RELIANCE COMMUNITY CARE PARTNERS,NPI-2,Case Management,GRAND RAPIDS,MI
1417027558,BRONXCARE HEALTH SYSTEM,NPI-2,General Acute Care Hospital,BRONX,NY
1417055617,ACCESS COMMUNITY HEALTH CENTERS  INC.,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),MADISON,WI
1417087446,PROGRESSIVE DIRECTIONS INC.,NPI-2,Day Training  Developmentally Disabled Services,CLARKSVILLE,TN
1417099789,CITY & COUNTY OF SAN FRANCISCO,NPI-2,Community/Behavioral Health,SAN FRANCISCO,CA
1417105958,DODGE COUNTY,NPI-2,Community/Behavioral Health,JUNEAU,WI
1417167651,PURCHASE AREA AGENCY ON AGING,NPI-2,Supports Brokerage,MAYFIELD,KY
1417285131,HBA MANAGEMENT INC,NPI-2,Clinic/Center  Medically Fragile Infants and Children Day Care,MARLTON,NJ
1417349622,THE COLLABORATIVE FOR CHILDREN AND FAMILIES,NPI-2,Case Manager/Care Coordinator,NEW YORK,NY
1417486531,A PHYSICIANS HOME CARE,NPI-2,In Home Supportive Care,COLORADO SPRINGS,CO
1417512369,KIDS UNLIMITED LEARNING ACADEMY OF SPRINGDALE,NPI-2,Clinic/Center  Rehabilitation,SPRINGDALE,AR
1417554098,DISCOVER LABS LLC,NPI-2,Clinical Medical Laboratory,AUSTIN,TX
1417627308,MDX DIAGNOSTICS LABORATORY,NPI-2,Clinical Medical Laboratory,HOUSTON,TX
1417671967,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,NPI-2,Community/Behavioral Health,JUNEAU,AK
1417954645,TIDEWELL HOSPICE  INC.,NPI-2,Hospice Care  Community Based,SARASOTA,FL
1427002625,RCS MANAGEMENT CORP,NPI-2,Durable Medical Equipment & Medical Supplies,SURPRISE,AZ
1427070168,COUNTY OF LOS ANGELES,NPI-2,General Acute Care Hospital,TORRANCE,CA
1427101351,COUNTY OF SAN DIEGO,NPI-2,Community/Behavioral Health,SAN DIEGO,CA
1427114099,JOHNS HOPKINS ALL CHILDREN'S HOSPITAL  INC,NPI-2,General Acute Care Hospital  Children,ST PETERSBURG,FL
1427121243,OHI,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,BANGOR,ME
1427125632,SES OPERATING CORP,NPI-2,Clinic/Center  Primary Care,NEW YORK,NY
1427136555,COUNTY OF MILWAUKEE,NPI-2,Community/Behavioral Health,MILWAUKEE,WI
1427138726,CONTRA COSTA COUNTY,NPI-2,General Acute Care Hospital,MARTINEZ,CA
1427225523,PEDIATRIA HEALTHCARE  LLC,NPI-2,Home Health,NEEDHAM,MA
1427246669,NATIONAL MENTOR SERVICES  LLC,NPI-2,Case Management,SAINT LOUIS,MO
1427335140,DHHS IHS PHOENIX AREA,NPI-2,General Acute Care Hospital,WHITERIVER,AZ
1427336791,GOOD SHEPHERD MEDICAL CLINIC  INC,NPI-2,Family Medicine,TUSTIN,CA
1427379387,FULL POTENTIAL,NPI-2,Clinic/Center  Primary Care,LITTLE ROCK,AR
1427394865,EASTER SEALS SOUTHERN CALIFORNIA  INC,NPI-2,Behavior Analyst,ANAHEIM,CA
1427440650,INDEPENDENT LIVING RESOURCE CENTER,NPI-2,Technician  Personal Care Attendant,ALBUQUERQUE,NM
1427453711,ARROW DENTAL PLLC,NPI-2,Dentist  Orthodontics and Dentofacial Orthopedics,LEXINGTON,KY
1427502046,MOSAIC COMMUNITY SERVICES  INC.,NPI-2,Clinic/Center  Rehabilitation  Comprehensive Outpatient Rehabilitation Facility (CORF),BALTIMORE,MD
1427723683,LIFESTREAM TREATMENT CENTER LLC,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),PHOENIX,AZ
1437101839,BROCKTON AREA MULTI-SERVICES  INC.,NPI-2,Counselor  Mental Health,WHITMAN,MA
1437132719,HOWARD COUNTY CHILDRENS CENTER INC,NPI-2,Day Training  Developmentally Disabled Services,NASHVILLE,AR
1437152154,CHRISTIANA CARE HOME HEALTH AND COMMUNITY SERVICES  INC.,NPI-2,Home Health,NEW CASTLE,DE
1437156635,EASTER SEALS DELAWARE & MARYLANDS EASTERN SHORE  INC,NPI-2,Psychologist  Intellectual & Developmental Disabilities,NEW CASTLE,DE
1437175734,VIRGINIA COMMONWEALTH UNIVERSITY HEALTH SYSTEM AUTHORITY,NPI-2,General Acute Care Hospital,RICHMOND,VA
1437255155,UNION COMMUNITY HEALTH CENTER  INC.,NPI-2,Clinic/Center,BRONX,NY
1437295292,SERTOMA CENTER  INC.,NPI-2,Day Training  Developmentally Disabled Services,KNOXVILLE,TN
1437368891,ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,NPI-2,General Acute Care Hospital,ANCHORAGE,AK
1437417078,ESTRELLA HOME HEALTH CARE INC.,NPI-2,Home Health,DENVER,CO
1437526597,DEPARTMENT OF DISABILITY AND AGING  TENNESSEE EARLY INTERVENTION SYSTEM (TEIS),NPI-2,Case Management,NASHVILLE,TN
1437533627,DANE COUNTY DEPARTMENT OF HUMAN SERVICES,NPI-2,Community/Behavioral Health,MADISON,WI
1437534559,DAYBREAK COMMUNITY SERVICES TEXAS LLC,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,FORT WORTH,TX
1437555000,AMAZING LOVE HEALTH SERVICES,NPI-2,Community/Behavioral Health,WASHINGTON,DC
1437585411,FORKIDCARE  LLC,NPI-2,Clinic/Center  Medically Fragile Infants and Children Day Care,VOORHEES,NJ
1437587243,YORK COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,NPI-2,Day Training  Developmentally Disabled Services,YORK,SC
1437726296,USRC WAHIAWA LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,WAHIAWA,HI
1437781499,STATE OF MISSOURI,NPI-2,Rehabilitation Counselor,JEFFERSON CITY,MO
1437847449,C&C MENTAL AND FAMILY SERVICES CORPORATION,NPI-2,Behavior Analyst,MIAMI,FL
1447205927,HARTWOOD FOUNDATION  INC.,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,SPRINGFIELD,VA
1447219449,Not Found,Unknown,Unknown,Unknown,Unknown
1447228598,AMBERCARE HOSPICE  INC.,NPI-2,Hospice Care  Community Based,ALBUQUERQUE,NM
1447279658,CITY OF ALEXANDRIA,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),ALEXANDRIA,VA
1447314513,AMMON ANALYTICAL LABORATORIES LLC,NPI-2,Clinical Medical Laboratory,LINDEN,NJ
1447348172,AUTISM OPPORTUNITIES FOUNDATION,NPI-2,Psychologist,MINNETONKA,MN
1447382817,COMMONWEALTH OF MASSACHUSETTS-DDS,NPI-2,Case Management,PLYMOUTH,MA
1447393319,SPECIAL TOUCH HOME CARE SERVICES  INC.,NPI-2,Home Health,BROOKLYN,NY
1447472980,NEWARK PUBLIC SCHOOLS,NPI-2,Local Education Agency (LEA),NEWARK,NJ
1447477815,YUKON-KUSKOKWIM HEALTH CORPORATION,NPI-2,Physician Assistant,BETHEL,AK
1447478060,CB KING MEMORIAL SCHOOL  INC.,NPI-2,Day Training  Developmentally Disabled Services,MCGEHEE,AR
1447488721,BNV HOME CARE AGENCY  INC.,NPI-2,Home Health,REGO PARK,NY
1447641493,CHHUNY  LLC,NPI-2,Case Management,ROCHESTER,NY
1447645296,COUNTY OF SANTA CLARA,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),SAN JOSE,CA
1447745112,HAPPY HAVEN  LLC,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,AUBURN,ME
1447890710,DARRINS PLACE INC,NPI-2,Substance Abuse Rehabilitation Facility,ESPANOLA,NM
1457077661,TP DEER VALLEY OPERATIONS  LLC,NPI-2,Assisted Living Facility,PHOENIX,AZ
1457304461,PAL-MED  LLC,NPI-2,Durable Medical Equipment & Medical Supplies,COLUMBIA,SC
1457410904,CARING PROFESSIONALS  INC,NPI-2,Home Health,FOREST HILLS,NY
1457478216,COUNTY OF PLACER,NPI-2,Community/Behavioral Health,ROSEVILLE,CA
1457478703,MNR INDUSTRIES  LLC,NPI-2,Clinic/Center  Urgent Care,BEL AIR,MD
1457562811,S & A UNIFIED HOME CARE  INC.,NPI-2,Home Health,BROOKLYN,NY
1457577892,SPECIAL NEEDS UNLIMITED  L.L.C.,NPI-2,Clinic/Center  Developmental Disabilities,BATON ROUGE,LA
1457601965,CALL THE CAR,NPI-2,Non-emergency Medical Transport (VAN),PASADENA,CA
1457621633,JARC,NPI-2,In Home Supportive Care,BLOOMFIELD HILLS,MI
1457629040,RANDOLPH COUNTY DEVELOPMENTAL DISABILITY RESOURCES,NPI-2,Case Management,MOBERLY,MO
1457920803,IMAGINE ENTERPRISES,NPI-2,Supports Brokerage,SEABROOK,TX
1467447508,BROADLAWNS MEDICAL CENTER,NPI-2,General Acute Care Hospital,DES MOINES,IA
1467505073,THE NEMOURS FOUNDATION,NPI-2,General Acute Care Hospital  Children,WILMINGTON,DE
1467513887,INDEPENDENT SCHOOL DISTRICT 625,NPI-2,Local Education Agency (LEA),SAINT PAUL,MN
1467522284,CONTRA COSTA COUNTY,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),MARTINEZ,CA
1467523746,IN-HOME ATTENDANT SERVICES  LTD.,NPI-2,Technician  Personal Care Attendant,HOUSTON,TX
1467538520,BAKERSFIELD MEMORIAL HOSPITAL,NPI-2,General Acute Care Hospital,BAKERSFIELD,CA
1467660688,DOMEL INCORPORATED,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,LIVONIA,MI
1467686006,BFLI,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,ROCKPORT,ME
1467881102,JAMES KUKWA,NPI-1,Social Worker,SAINT PAUL,MN
1467883645,DISABILITIES BOARD OF CHARLESTON COUNTY,NPI-2,Day Training  Developmentally Disabled Services,CHARLESTON,SC
1477582609,BEHAVIORAL HEALTH NETWORK INC,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),SPRINGFIELD,MA
1477607331,OCCK  INC.,NPI-2,Physical Therapist  Sports,SALINA,KS
1477638435,GESHER HUMAN SERVICES,NPI-2,Clinic/Center  Adult Mental Health,DETROIT,MI
1477643690,TEXAS CHILDREN'S HOSPITAL,NPI-2,General Acute Care Hospital  Children,HOUSTON,TX
1477645414,CITY OF TACOMA,NPI-2,Ambulance  Land Transport,TACOMA,WA
1477660132,MID AMERICA HEALTHCARE CORP OF WISCONSIN,NPI-2,Home Health,MILWAUKEE,WI
1477674828,PYRAMID HEALTH CARE INC.,NPI-2,Substance Abuse Rehabilitation Facility,WILKINSBURG,PA
1477679041,SOUTH ARKANSAS DEVELOPMENTAL CENTER FOR CHILDREN AND FAMILIES,NPI-2,Day Training  Developmentally Disabled Services,EL DORADO,AR
1477744746,LP LAKE WORTH LLC,NPI-2,Skilled Nursing Facility,LAKE WORTH,FL
1477746063,ROCHESTER GENERAL HOSPITAL-LAB,NPI-2,Clinical Medical Laboratory,ROCHESTER,NY
1477796779,SOUTHERN HOME CARE SERVICES  INC.,NPI-2,In Home Supportive Care,SAINT LOUIS,MO
1477869295,BLUEFIELD HOSPITAL COMPANY LLC,NPI-2,General Acute Care Hospital,BLUEFIELD,WV
1487180097,LIBERTY DIALYSIS - HAWAII LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,MILILANI,HI
1487227070,JOURNEY SOLUTIONS INC.,NPI-2,Counselor  Addiction (Substance Use Disorder),PHOENIX,AZ
1487387742,MEDICAL TRANSPORTATION MANAGEMENT  INC.,NPI-2,Transportation Broker,LAKE ST LOUIS,MO
1487625190,LONG BEACH DIALYSIS CENTER  LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,LONG BEACH,CA
1487649430,THE MIRIAM HOSPITAL,NPI-2,General Acute Care Hospital,PROVIDENCE,RI
1487655064,BAYSTATE MEDICAL CENTER INC,NPI-2,General Acute Care Hospital,SPRINGFIELD,MA
1497007306,HOWARD J. CHUDLER & ASSOCIATES  INC,NPI-2,Community/Behavioral Health,COVINA,CA
1497048185,KIDSPIRATION PEDIATRIC THERAPY SERVICES  INC.,NPI-2,Clinic/Center  Primary Care,MOUNTAIN HOME,AR
1497172803,NEUROINTERNATIONAL HEALTHCARE  LLC,NPI-2,Rehabilitation Hospital,SARASOTA,FL
1497257851,JEVS HUMAN SERVICES,NPI-2,Psychologist  Adult Development & Aging,WILMINGTON,DE
1497376735,GREAT LAKES RECOVERY CENTER LLC,NPI-2,Substance Abuse Rehabilitation Facility,FREMONT,OH
1497700801,RENO SPARKS INDIAN COLONY,NPI-2,Clinic/Center,RENO,NV
1497786412,PINE RIDGE INDIAN HEALTH SERVICE HOSPITAL,NPI-2,General Acute Care Hospital,PINE RIDGE,SD
1497894349,ELITE HEALTHCARE NURSING SERVICES  INC.,NPI-2,Home Health,BALTIMORE,MD
1497933162,MILLENNIUM HEALTH  LLC,NPI-2,Clinical Medical Laboratory,SAN DIEGO,CA
1497977169,ALL WALKS OF LIFE  LLC,NPI-2,Community/Behavioral Health,BALTIMORE,MD
1508025370,AMAZING HOME CARE SERVICES LLC,NPI-2,Home Health,BRONX,NY
1508037870,KIDS FOR THE FUTURE ROGERS  INC.,NPI-2,Clinic/Center  Developmental Disabilities,ROGERS,AR
1508063710,THE BOARD OF EDUCATION OF THE CITY OF CHICAGO,NPI-2,Local Education Agency (LEA),CHICAGO,IL
1508072588,COUNTY OF SOLANO,NPI-2,Public Health or Welfare,FAIRFIELD,CA
1508089699,DEPARTMENT OF DEVELOPMENTAL SERVICES,NPI-2,Case Management,PITTSFIELD,MA
1508124488,COMMUNITY BRIDGES  INC.,NPI-2,Community/Behavioral Health,MESA,AZ
1508171216,CAROLINA OUTREACH  LLC,NPI-2,Community/Behavioral Health,DURHAM,NC
1508199258,COUNTY OF VENTURA,NPI-2,Community/Behavioral Health,OXNARD,CA
1508239450,SPECTRA HUMAN SERVICES  INC.,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,LAKEWOOD,CO
1508290313,EQUI VENTURE FARMS  LLC,NPI-2,Day Training  Developmentally Disabled Services,TOPEKA,KS
1508409905,RURAL NEVADA COUNSELING,NPI-2,Community/Behavioral Health,SILVER SPRINGS,NV
1508480500,ONE STEP BEYOND  INC,NPI-2,Speech-Language Pathologist   ,PEORIA,AZ
1508484569,CURATIVE LABS INC.,NPI-2,Clinical Medical Laboratory,WASHINGTON,DC
1508581976,REHEMA OUTPATIENT TREATMENT CENTER LLC,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),CASA GRANDE,AZ
1508807231,RENAL CARE GROUP LAS VEGAS  LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,LAS VEGAS,NV
1508909524,MONTGOMERY COUNTY PUBLIC SCHOOLS SERVICES,NPI-2,Counselor,ROCKVILLE,MD
1508917295,CIVITAN CENTER,NPI-2,Day Training  Developmentally Disabled Services,BENTON,AR
1508984006,JOINT SCHOOL DISTRICT NO. 2,NPI-2,Local Education Agency (LEA),MERIDIAN,ID
1518022763,GRANITE BAY CARE  INC,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,PORTLAND,ME
1518049485,HEALTH ACQUISITION CORP.,NPI-2,Home Health,FOREST HILLS,NY
1518098359,STAVROS CENTER FOR INDEPENDENT LIVING  INC.,NPI-2,Case Management,AMHERST,MA
1518135599,RESCARE GEORGIA,NPI-2,Community/Behavioral Health,ATLANTA,GA
1518239219,MARILLAC CLINIC  INC.,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),GRAND JUNCTION,CO
1518259035,ASTRA HOME CARE,NPI-2,Home Health,BROOKLYN,NY
1518359165,PEDIATRUST LAKE CHARLES  LLC,NPI-2,Exclusive Provider Organization,LAKE CHARLES,LA
1518406636,GENTECH LABORATORIES LLC,NPI-2,Clinical Medical Laboratory,DALLAS,TX
1518417344,ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,NPI-2,Transportation Broker,ANCHORAGE,AK
1518470962,TERI HOURIHAN,NPI-1,Counselor  Professional,PHOENIX,AZ
1518585108,FULGENT THERAPEUTICS  LLC.,NPI-2,Clinical Medical Laboratory,EL MONTE,CA
1518903350,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,NPI-2,Clinical Medical Laboratory,MIRAMAR,FL
1518911338,UNIVERSITY OF KENTUCKY,NPI-2,General Acute Care Hospital,LEXINGTON,KY
1518984251,THE BRIEN CENTER FOR MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES INC.,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),PITTSFIELD,MA
1528064409,VIRTUA - WEST JERSEY HEALTH SYSTEM  INC.,NPI-2,General Acute Care Hospital,VOORHEES,NJ
1528105558,COUNTY OF TULARE,NPI-2,Clinic/Center  Public Health  State or Local,VISALIA,CA
1528144318,FRIENDSHIP COMMUNITY CARE INC.,NPI-2,Clinic/Center  Rehabilitation  Comprehensive Outpatient Rehabilitation Facility (CORF),RUSSELLVILLE,AR
1528174349,BEACON SPECIALIZED LIVING MINNESOTA  INC.,NPI-2,Clinic/Center  Adult Day Care,MENDOTA HEIGHTS,MN
1528190931,PORT CITY OPERATING COMPANY  LLC,NPI-2,General Acute Care Hospital,STOCKTON,CA
1528238276,Not Found,Unknown,Unknown,Unknown,Unknown
1528281532,DEPARTMENT OF DEVELOPMENTAL SERVICES,NPI-2,Case Management,SPRINGFIELD,MA
1528315397,FIVE STAR HOME HEALTH CARE AGENCY,NPI-2,Home Health,BROOKLYN,NY
1528338282,ALL AMERICAN HOMECARE AGENCY INC.,NPI-2,Home Health,BROOKLYN,NY
1528351285,QUALITY ONE CARE HOME HEALTH INC.,NPI-2,Home Health,SILVER SPRING,MD
1528387859,BRANDI'S HOPE COMMUNITY SERVICES,NPI-2,Day Training  Developmentally Disabled Services,MAGEE,MS
1528436367,BIOCONFIRM LABORATORIES LLC,NPI-2,Clinical Medical Laboratory,DORAVILLE,GA
1528528726,QUICK MED URGENT CARE LLC,NPI-2,Clinic/Center  Urgent Care,YOUNGSTOWN,OH
1528698545,ROCKY MOUNTAIN HUMAN SERVICES,NPI-2,Respite Care,DENVER,CO
1538203211,HURON AREA CENTER FOR INDEPENDENCE,NPI-2,Clinic/Center  Developmental Disabilities,HURON,SD
1538247788,CONTRA COSTA COUNTY,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),BAY POINT,CA
1538292768,NORTHEAST KINGDOM HUMAN SERVICES INC DS WAIVER,NPI-2,Clinic/Center  Developmental Disabilities,NEWPORT,VT
1538339742,COUNTY OF SAUK,NPI-2,Community/Behavioral Health,BARABOO,WI
1538378625,SOUTHCENTRAL FOUNDATION,NPI-2,Clinic/Center  Community Health,ANCHORAGE,AK
1538438544,PREFERRED HOME & COMMUNITY BASED SERVICES  INC.,NPI-2,Day Training  Developmentally Disabled Services,WAIPAHU,HI
1538689039,MERCY LIFE CENTER CORPORATION,NPI-2,Clinic/Center  Community Health,PITTSBURGH,PA
1538731500,GOING THE EXTRA MILE LLC,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),PHOENIX,AZ
1548266547,BALTIMORE MEDICAL SYSTEM INC,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),BALTIMORE,MD
1548298532,LOS ANGELES LGBT CENTER,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),LOS ANGELES,CA
1548307713,CAMDEN COUNTY SENATE BILL 40 BOARD,NPI-2,Case Management,CAMDENTON,MO
1548487457,A-1 ABSOLUTE BEST CARE,NPI-2,Day Training  Developmentally Disabled Services,GRETNA,LA
1548496706,PARTNERS IN RECOVERY  LLC,NPI-2,Community/Behavioral Health,MESA,AZ
1548505290,1ST CARE OF NEW MEXICO LLC,NPI-2,In Home Supportive Care,ALBUQUERQUE,NM
1548538911,COMMUNITY HEALTH SYSTEMS  INC.,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),RIVERSIDE,CA
1548621543,NV ST DV MH/DS RURAL REGIONAL CENTER,NPI-2,Respite Care,SPARKS,NV
1548760689,NEIGHBORLY HOME CARE,NPI-2,In Home Supportive Care,WILMINGTON,DE
1548771736,USA BIOSCIENCES LLC,NPI-2,Clinical Medical Laboratory,TORRANCE,CA
1558302570,LEE MEMORIAL HEALTH SYSTEM,NPI-2,General Acute Care Hospital,FT MYERS,FL
1558405134,VITAS HEALTHCARE CORPORATION OF CALIFORNIA,NPI-2,Hospice Care  Community Based,SACRAMENTO,CA
1558410233,LINDLEY HABILITATION SERVICES INC,NPI-2,Community/Behavioral Health,GREENSBORO,NC
1558416701,EGLESTON CHILDREN'S HOSPITAL AT EMORY UNIVERSITY  INC.,NPI-2,Pediatrics  Pediatric Emergency Medicine,ATLANTA,GA
1558520841,CORECARE BEHAVIORAL HEALTH MANAGEMENT  INC.,NPI-2,Substance Abuse Rehabilitation Facility,PHILADELPHIA,PA
1558672279,NATERA  INC.,NPI-2,Clinical Medical Laboratory,SAN CARLOS,CA
1558756296,EXCEL COPMANION CARE INC,NPI-2,Home Health,WARMINSTER,PA
1558799684,FOUR WINDS BEHAVIORAL HEALTH  INC.,NPI-2,Substance Abuse Rehabilitation Facility,RIO RANCHO,NM
1558902916,SERENITY SOBER LIVVING  LLC,NPI-2,Substance Abuse Rehabilitation Facility,MONROE,LA
1568039329,USRC KO'OLAU LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,KANEOHE,HI
1568061232,COMMUNITY CONNECTIONS  INC.,NPI-2,Community/Behavioral Health,KETCHIKAN,AK
1568100865,HOPE LIGHT CARE RECOVERY CENTER LLC,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),PHOENIX,AZ
1568455053,GREENVILLE RANCHERIA,NPI-2,Clinic/Center  Community Health,RED BLUFF,CA
1568470599,DEBORAH L CURLEE COMMUNICATION CONSULTANTS INC,NPI-2,Speech-Language Pathologist   ,KNOXVILLE,TN
1568472769,ROCHESTER INDEPENDENT SCHOOL DISTRICT NO. 535,NPI-2,Local Education Agency (LEA),ROCHESTER,MN
1568525640,KEYSTONE SERVICE SYSTEMS  INC.,NPI-2,Psychologist  Intellectual & Developmental Disabilities,NEWARK,DE
1568540763,CONTRA COSTA COUNTY,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),PITTSBURG,CA
1568633923,ADVANTAGE HOME HEALTH CARE SERVICES LLC,NPI-2,Home Health,HYANNIS,MA
1568682797,THE ASHLEY HOUSE,NPI-2,Nursing Care,FEDERAL WAY,WA
1568799658,MIRACLE KIDS SUCCESS ACADEMY  INC.,NPI-2,Clinic/Center  Rehabilitation,JONESBORO,AR
1568910677,TRADITION CHOICE,NPI-2,Home Health,BROOKLYN,NY
1578130597,USRC ALOHA LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,HONOLULU,HI
1578520508,THE ELIZABETH RICHARDSON CTR.,NPI-2,Day Training  Developmentally Disabled Services,SPRINGDALE,AR
1578554630,SUNY HEALTH SCIENCE CENTER AT SYRACUSE,NPI-2,General Acute Care Hospital,SYRACUSE,NY
1578620449,SOUTHERN BAPTIST HOSPITAL OF FLORIDA INC,NPI-2,General Acute Care Hospital,JACKSONVILLE,FL
