npi,provider_name,entity_type,taxonomy_description,city,state
1144983180,NEW LIFE WELLNESS FLAGSTAFF,NPI-2,Community/Behavioral Health,FLAGSTAFF,AZ
1154302586,NORTHEAST BEHAVIORAL HEALTH CORPORATION,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),BEVERLY,MA
1154356244,FAIRFAX COUNTY  VIRGINIA,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),FAIRFAX,VA
1154362093,NOVA SKILLED HOME HEALTH  INC.,NPI-2,Home Health,LOS ANGELES,CA
1154403798,JEFFERSON CENTER FOR MENTAL HEALTH,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),WHEAT RIDGE,CO
1154437879,MEDSTAR HEALTH VISITING NURSE ASSOCIATION  INC.,NPI-2,Home Health,GREENBELT,MD
1154730828,EL PROYECTO DEL BARRIO  INC.,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),BALDWIN PARK,CA
1164409926,HEART OF TEXAS COMMUNITY HEALTH CENTER  INC,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),WACO,TX
1164421822,BEST OPTION HEALTHCARE PUERTO RICO LLC,NPI-2,Pharmacy  Home Infusion Therapy Pharmacy,SAN JUAN,PR
1164460820,UTOPIA HOME CARE INC,NPI-2,Home Health,EAST HAVEN,CT
1164483558,MEP HEALTH  LLC,NPI-2,Emergency Medicine,ROCKVILLE,MD
1164487542,INSPIRA MEDICAL CENTERS  INC.,NPI-2,General Acute Care Hospital,VINELAND,NJ
1164492195,ST. MARY'S MEDICAL CENTER INC,NPI-2,General Acute Care Hospital,HUNTINGTON,WV
1164543765,LOOKING UPWARDS  INC.,NPI-2,Day Training  Developmentally Disabled Services,PORTSMOUTH,RI
1164568994,HKJ INC,NPI-2,Community/Behavioral Health,MISSOULA,MT
1164590089,OPTIMAL HOSPICE  INC.,NPI-2,Hospice Care  Community Based,FRESNO,CA
1164684825,LIBERTY DIALYSIS - HAWAII LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,WAIPAHU,HI
1164807533,REDDING RANCHERIA,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),REDDING,CA
1164843835,CSI PEDIATRIC SERVICES  LLC.,NPI-2,Clinic/Center  Health Services,FORT LAUDERDALE,FL
1164957080,FIRST STEP ARKANSAS  LLC,NPI-2,Early Intervention Provider Agency,JONESBORO,AR
1174522114,ALBERT EINSTEIN MEDICAL CENTER,NPI-2,Rehabilitation Unit,PHILA,PA
1174542013,FRANCISCAN HOSPITAL FOR CHILDREN  INC.,NPI-2,Rehabilitation Hospital  Children,BOSTON,MA
1174635684,WEST CENTRAL SERVICES  INC.,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),LEBANON,NH
1174642490,ELDER SERVICES OF THE MERRIMACK VALLEY  INC.,NPI-2,Home Health,LAWRENCE,MA
1174649644,ACCRA CARE,NPI-2,Home Health,MINNETONKA,MN
1174664601,VOLUNTEERS OF AMERICA  DAKOTAS,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,SIOUX FALLS,SD
1174676415,TEXARKANA SPECIAL EDUCATION CENTER  INC.,NPI-2,Day Training  Developmentally Disabled Services,TEXARKANA,TX
1174677603,VALLIVUE SCHOOL DISTRICT #139,NPI-2,Local Education Agency (LEA),CALDWELL,ID
1174716013,DANE COUNTY HUMAN SERVICES,NPI-2,Community/Behavioral Health,MADISON,WI
1174769822,3RIVERS  INC.,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,WESTBROOK,ME
1174818702,WAYNE HALFWAY HOUSE INC.,NPI-2,Psychiatric Residential Treatment Facility,WAYNESBORO,TN
1174964738,FULGENT THERAPEUTICS  LLC.,NPI-2,Clinical Medical Laboratory,EL MONTE,CA
1174965727,SUFFOLK PRIMARY HEALTH  LLC,NPI-2,Clinic/Center  Primary Care,RIVERHEAD,NY
1184046187,MEDSTAR MEDICAL GROUP II LLC,NPI-2,General Practice,BALTIMORE,MD
1184166027,BURRELL  INC.,NPI-2,Community/Behavioral Health,SPRINGFIELD,MO
1184199473,DEMO COMMUNITY SERVICES  LLC,NPI-2,Community/Behavioral Health,MESA,AZ
1184469025,OPEN ARMS HEALTHCARE LLC,NPI-2,Community/Behavioral Health,COLUMBUS,OH
1184634610,ARKANSAS ENTERPRISES FOR THE DEVELOPMENTALLY DISABLED  INC.,NPI-2,Day Training  Developmentally Disabled Services,LITTLE ROCK,AR
1184703415,CONCEPTS OF INDEPENDENCE  INC.,NPI-2,Home Health,NEW YORK,NY
1184709057,ORLANDO HEALTH  INC.,NPI-2,General Acute Care Hospital,ORLANDO,FL
1184722779,REGENTS OF THE UNIVERSITY OF CALIFORNIA,NPI-2,General Acute Care Hospital,SAN DIEGO,CA
1184725525,U OF R NEUROLOGY DEPARTMENT,NPI-2,Psychiatry & Neurology  Neurology,ROCHESTER,NY
1184729493,WINSLOW INDIAN HEALTH CARE CENTER  INC,NPI-2,Clinic/Center  Public Health  Federal,WINSLOW,AZ
1184748535,BRIDGEWAY BEHAVIORAL HEALTH SERVICES,NPI-2,Case Management,ELIZABETH,NJ
1184758310,SPRINGWELL,NPI-2,Case Management,WATERTOWN,MA
1184769242,NEW HORIZONS REHABILITATION SERVICES  INC.,NPI-2,Day Training  Developmentally Disabled Services,AUBURN HILLS,MI
1184779332,SCOTTISH RITE CHILDREN'S MEDICAL CENTER,NPI-2,Pediatrics  Pediatric Hematology-Oncology,ATLANTA,GA
1184780629,VOCA CORPORATION OF WEST VIRGINIA  INC.,NPI-2,Clinic/Center  Developmental Disabilities,PRINCETON,WV
1184784670,FORRESTER-DAVIS DEVELOPMENT CENTER  INC.,NPI-2,Day Training  Developmentally Disabled Services,CLARKSVILLE,AR
1184786527,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,NPI-2,General Practice,PORTLAND,OR
1184791998,BAY AREA COMMUNITY HEALTH,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),FREMONT,CA
1194020370,COMMUNITY ALTERNATIVES VIRGINIA  INC.,NPI-2,Community/Behavioral Health,FOREST,VA
1194036855,O'BRIEN HOUSE,NPI-2,Substance Abuse Rehabilitation Facility,BATON ROUGE,LA
1194144873,COUNTY OF MILWAUKEE,NPI-2,Community/Behavioral Health,MILWAUKEE,WI
1194165985,COMMUNITY HEALTH AIDE SERVICES  INC.,NPI-2,Home Health,MONSEY,NY
1194451989,ARTEMIS OF ARIZONA LLC,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),PHOENIX,AZ
1194453688,ONE POINT PSYCHIATRIC SERVICES LLC,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),PHOENIX,AZ
1194711226,CENTRUS PREMIER HOME CARE INC,NPI-2,Home Health,PLYMOUTH,MA
1194743013,CHILDREN'S HEALTH SYSTEM OF TEXAS,NPI-2,General Acute Care Hospital  Children,DALLAS,TX
1194815837,INDEPENDENT COMMUNITY CARE SERVICES,NPI-2,Home Health,FARMINGTON HILLS,MI
1194832477,THE NEW YORK AND PRESBYTERIAN HOSPITAL,NPI-2,General Acute Care Hospital,NEW YORK,NY
1194934471,COUNTY OF SAN BERNARDINO,NPI-2,Clinic/Center  Rehabilitation  Substance Use Disorder,SAN BERNARDINO,CA
1194943514,SHELBY RESIDENTIAL AND VOCATIONAL SERVICES,NPI-2,Intermediate Care Facility  Intellectual Disabilities,MEMPHIS,TN
1205083672,ICL ACT TEAM CENTRAL BROOKLYN,NPI-2,Case Management,BROOKLYN,NY
1205186442,ACTION URGENT CARE INC,NPI-2,Clinic/Center  Urgent Care,SAN JOSE,CA
1205324720,RESOURCES FOR HUMAN DEVELOPMENT  INC.,NPI-2,Community/Behavioral Health,GLASSPORT,PA
1205410933,DOCTORNOW,NPI-2,Clinical Medical Laboratory,NORTHRIDGE,CA
1205813540,CHILD & FAMILY SERVICES  INC.,NPI-2,Counselor  Mental Health,NEW BEDFORD,MA
1205883717,SOUTHWEST AMBULANCE OF TUCSON INC,NPI-2,Ambulance  Land Transport,TUCSON,AZ
1205924826,OPTION CARE ENTERPRISES  INC.,NPI-2,Pharmacy  Home Infusion Therapy Pharmacy,TAMPA,FL
1205962883,CREATIVE WORKS,NPI-2,Day Training  Developmentally Disabled Services,WESTBROOK,ME
1205965258,COMMONWEALTH OF MASSACHUSETTS,NPI-2,Case Management,LOWELL,MA
1215027966,NEWARK BETH ISRAEL MEDICAL CENTER INC,NPI-2,General Acute Care Hospital,NEWARK,NJ
1215143805,SUPREME HEALTH CARE LLC,NPI-2,Homemaker,DENVER,CO
1215342175,LAUREL CANYON DIALYSIS  LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,SUN VALLEY,CA
1215348214,2ND CHANCE,NPI-2,Internal Medicine  Addiction Medicine,LEXINGTON,KY
1215365689,BEHAVIORAL SERVICES OF LOUISIANA  L.L.C.,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),BATON ROUGE,LA
1215473558,APEX HUMAN SERVICES  LLC,NPI-2,Home Health,SECANE,PA
1215504824,KAISER FOUNDATION HEALTH PLAN INC,NPI-2,Health Maintenance Organization,OAKLAND,CA
1215634928,CHRISTIAN3 MEGA CLINIC LLC,NPI-2,Clinic/Center  Rehabilitation  Substance Use Disorder,MESA,AZ
1215921457,CHILDRENS HOSPITAL OF PHILADELPHIA,NPI-2,General Acute Care Hospital  Children,PHILADELPHIA,PA
1215928510,VISITING NURSE SERVICE OF NEW YORK HOSPICE CARE,NPI-2,Hospice Care  Community Based,NEW YORK,NY
1225039811,GREATER LAKES MENTAL HEALTH FOUNDATION INC,NPI-2,Community Based Residential Treatment Facility  Mental Illness,LAKEWOOD,WA
1225048457,COMMUNITY SYSTEMS  INC.,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,SPRINGFIELD,VA
1225159064,ELDER SERVICES OF CAPE COD AND THE ISLANDS,NPI-2,Case Management,SOUTH DENNIS,MA
1225166150,INDEPENDENT LIVING SERVICES  INC.,NPI-2,Day Training  Developmentally Disabled Services,CONWAY,AR
1225205354,GREATER NEW YORK HOME CARE LLC,NPI-2,Home Health,BROOKLYN,NY
1225255375,COUNTY OF SAN DIEGO,NPI-2,Public Health or Welfare,SAN DIEGO,CA
1225546575,FAMILY HEALTHCARE NETWORK,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),FRESNO,CA
1225748551,UNITED FAMILY CLINIC LLC,NPI-2,Clinic/Center,PHOENIX,AZ
1234567811,Not Found,Unknown,Unknown,Unknown,Unknown
1235184235,ONONDAGA CASE MANAGEMENT SERVICES INC.,NPI-2,Case Management,SYRACUSE,NY
1235189911,FACULTY PHYSICIANS AND SURGEONS OF LLUSM,NPI-2,Pediatrics,REDLANDS,CA
1235226531,PERMANENTE MEDICAL GROUP INC,NPI-2,Internal Medicine,RICHMOND,CA
1235261009,RUTLAND MENTAL HEALTH SERVICES,NPI-2,Clinic/Center  Developmental Disabilities,RUTLAND,VT
1235290818,COMMUNITY HOSPITAL OF SAN BERNARDINO,NPI-2,General Acute Care Hospital,SAN BERNARDINO,CA
1235299496,SUPPORT SOLUTIONS INC,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,LEWISTON,ME
1235343823,CENTRAL BOSTON ELDER SERVICES  INC.,NPI-2,Home Health,ROXBURY,MA
1235474818,MARYLAND HEALTH ALLIANCE  INC.,NPI-2,Counselor  Mental Health,GREENBELT,MD
1235540212,ANDERSON BEHAVIORAL HEALTH  INC,NPI-2,Foster Care Agency,MARSHVILLE,NC
1235549387,ST PETERSBURG KIDNEY CARE SOUTH LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,ST PETERSBURG,FL
1235569112,REM EAST LLC,NPI-2,Community/Behavioral Health,FLOWOOD,MS
1235574617,KELSCH ASSOCIATES,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,WOODBURY HEIGHTS,NJ
1235645847,ENCOMPASS THERAPY CENTER  LLC,NPI-2,Behavior Analyst,BAY CITY,MI
1235650516,EXPERT ABA CONSULTING  LLC,NPI-2,Behavior Analyst,PASADENA,CA
1235657461,ARIZONA REHAB CAMPUS  LLC,NPI-2,Community/Behavioral Health,TUCSON,AZ
1245212380,GENERATIONS HEALTH ASSOCIATION  INC.,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),MORRISON,TN
1245307818,QUEST DIAGNOSTICS INCORPORATED MD,NPI-2,Clinical Medical Laboratory,BALTIMORE,MD
1245317205,YOUTH OPPORTUNITIES UPHELD  INC.,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),WORCESTER,MA
1245354000,COMMONWEALTH OF MASSACHUSETTS-DDS,NPI-2,Case Management,HYANNIS,MA
1245364595,COMMONWEALTH OF MASSACHUSETTS-DDS,NPI-2,Case Management,BROCKTON,MA
1245368521,STATEWIDE HEALTHCARE SERVICES  INC,NPI-2,Nursing Care,JACKSON,MS
1245378561,AUTOMATIC NURSING CARE SERVICES  INC.,NPI-2,Home Health,SILVER SPRING,MD
1245414721,CAREGIVER HOMES OF MASSACHUSETTS  INC,NPI-2,Case Management,AUBURN,MA
1245430438,COMMONWEALTH OF PENNSYLVANIA DEPARTMENT OF EDUCATION,NPI-2,Local Education Agency (LEA),WEST HAZLETON,PA
1245440817,MASSACHUSETTS CORRECTIONAL INDUSTRIES,NPI-2,Eyewear Supplier (Equipment  not the service),GARDNER,MA
1245520386,THE NEMOURS FOUNDATION,NPI-2,General Acute Care Hospital  Children,ORLANDO,FL
1245693464,AFFORDABLE HEALTH CARE SERVICES LLC,NPI-2,Clinic/Center  Developmental Disabilities,WASHINGTON,DC
1245699461,CREATIVE OPTIONS  LLC,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,BANGOR,ME
1245938729,EMERGENCY MEDICINE SERVICES OF TX  PLLC,NPI-2,Emergency Medicine,SAN ANTONIO,TX
1255333597,NEW ENGLAND HOME CARE INC.,NPI-2,Home Health,ROCKY HILL,CT
1255344594,ARTHRITIS & RHEUMATOLOGY ASSOCIATES OF SOUTH JERSEY PC,NPI-2,Internal Medicine  Rheumatology,VINELAND,NJ
1255364923,CHICKASAW NATION DIVISION OF HEALTH,NPI-2,General Acute Care Hospital,ADA,OK
1255365599,MOUNT ROGERS COMMUNITY SERVICES,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),WYTHEVILLE,VA
1255382784,GEISINGER CLINIC,NPI-2,Surgery,DANVILLE,PA
1255385399,MACOMB COUNTY COMMUNITY MENTAL HEALTH,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),CLINTON TWP,MI
1255496220,RSCR WEST VIRGINIA  INC.,NPI-2,Clinic/Center  Developmental Disabilities,PARKERSBURG,WV
1255523494,MULBERRY STREET MANAGEMENT SERVICES  INC.,NPI-2,In Home Supportive Care,MORGANTOWN,WV
1255623716,TEMPUS UNLIMITED  INC.,NPI-2,Voluntary or Charitable,STOUGHTON,MA
1255665899,NEW COMMUNITIES  INC.,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,NORWAY,ME
1255694451,MOHAMMAD FAIZUL SUHAIL,NPI-1,Internal Medicine,BRONX,NY
1265182984,GOLDEN STAR LABS LLC,NPI-2,Clinical Medical Laboratory,LOS ANGELES,CA
1265483457,COMMUNITY MENTAL HEALTH AUTHORITY OF CLINTON EATON INGHAM COUNTIES,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),LANSING,MI
1265507917,PRINCE GEORGES COUNTY PUBLIC SCHOOLS,NPI-2,Local Education Agency (LEA),UPPER MARLBORO,MD
1265529168,STATE OF OKLAHOMA DEPT OF HUMAN SERVICES,NPI-2,Case Management,OKLAHOMA CITY,OK
1265578439,DISCOVERY LIVING  INC.,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,CEDAR RAPIDS,IA
1265585806,THE NEMOURS FOUNDATION,NPI-2,Clinic/Center  Multi-Specialty,JACKSONVILLE,FL
1265758452,AT-HOME PERSONAL CARE SERVICES LLC.,NPI-2,Home Health,SANTA TERESA,NM
1265782395,DIVERSIFIED ASSESSMENT & THERAPY SERVICES,NPI-2,Community/Behavioral Health,KENOVA,WV
1265857890,MANCHESTER PEDIATRIC MEDICAL DAY CARE,NPI-2,Clinic/Center  Medically Fragile Infants and Children Day Care,MANCHESTER,NJ
1265912067,MAINEHEALTH,NPI-2,Community/Behavioral Health,PORTLAND,ME
1265926687,FRIENDS AND FAMILY HOME CARE SERVICES,NPI-2,In Home Supportive Care,NEW YORK,NY
1265995435,COLLABORATIVE AUTISM MANAGEMENT PROGRAMS INC.,NPI-2,Behavior Analyst,ONTARIO,CA
1275060931,OPTIMALAB INC,NPI-2,Clinical Medical Laboratory,WOOD DALE,IL
1275119570,TOWNE PEDIATRIC HOMECARE LLC,NPI-2,Home Health,HOWELL,NJ
1275182966,COMMUNITY SOLUTIONS INCORPORATED,NPI-2,Clinical Medical Laboratory,BILLINGS,MT
1275197055,INTELLIRIDE  LLC,NPI-2,Transportation Broker,LOMBARD,IL
1275643355,BOST  INC.,NPI-2,Counselor,FORT SMITH,AR
1275657553,HEART TO HEART HOME CARE  INC.,NPI-2,Home Health,BROOKLYN,NY
1275665457,NEW YORK NETWORK IPA INC,NPI-2,Exclusive Provider Organization,BROOKLYN,NY
1275754012,PRESBYTERIAN HOSPITALITY HOUSE,NPI-2,Residential Treatment Facility  Emotionally Disturbed Children,FAIRBANKS,AK
1275782641,MARN DDS DENTAL PRACTICE P.C.,NPI-2,Dentist  General Practice,LOS ANGELES,CA
1275809543,PARTNERS BEHAVIORAL HEALTH MANAGEMENT,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),GASTONIA,NC
1275812620,MISSISSIPPI COUNTY CHILD DEVELOPMENT CENTER,NPI-2,Health Maintenance Organization,OSCEOLA,AR
1275849283,DAP HEALTH  INC.,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),DESERT HOT SPRINGS,CA
1275911398,DELTA COMMUNITY SUPPORTS  INC.,NPI-2,Day Training  Developmentally Disabled Services,RARITAN,NJ
1275916363,SPECTRUM AUTISM CENTER LLC,NPI-2,Behavior Analyst,FREELAND,MI
1275937518,HUDSON VALLEY CARE COALITION,NPI-2,Case Management,OSSINING,NY
1285006379,WIND RIVER FAMILY & COMMUNITY HEALTHC CARE,NPI-2,Clinic/Center  Public Health  Federal,ARAPAHOE,WY
1285290510,EVERGREEN HOME HEALTHCARE  LLC,NPI-2,In Home Supportive Care,WESTMINSTER,CO
1285340174,AC RECOVERY CENTER AND WELLNESS LLC,NPI-2,Community/Behavioral Health,PHOENIX,AZ
1285629899,COUNTY OF SANTA CLARA,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),MILPITAS,CA
1285638924,FI-BROWARD NURSING  LLC,NPI-2,Skilled Nursing Facility,POMPANO BEACH,FL
1285640961,SOUTH PENINSULA BEHAVIORAL HEALTH SERVICES INC,NPI-2,Community/Behavioral Health,HOMER,AK
1285688556,HIGH QUALITY CARE NURSING  INC,NPI-2,Nursing Care,LAUREL,MD
1285712471,CONTRA COSTA COUNTY,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),ANTIOCH,CA
1285717298,NIAGARA FALLS MEMORIAL MEDICAL CENTER,NPI-2,General Acute Care Hospital,NIAGARA FALLS,NY
1285758300,COMMONWEALTH OF MASSACHUSETTS-DDS,NPI-2,Case Management,NEW BEDFORD,MA
1285801985,NORTHERN KENTUCKY CONSUMER DIRECTED OPTION PROGRAM,NPI-2,Supports Brokerage,FLORENCE,KY
1285903138,Not Found,Unknown,Unknown,Unknown,Unknown
1285942458,COMMUNITY BEHAVIORAL NURSING SERVICES  INC,NPI-2,Home Health,FAIRLAWN,OH
1285954339,KIDS FOR THE FUTURE OF MARIANNA  INC.,NPI-2,Early Intervention Provider Agency,MARIANNA,AR
1285971887,DEVOTED GUARDIANS LLC,NPI-2,In Home Supportive Care,TEMPE,AZ
1295056919,ADVANCED MINIMALLY INVASIVE SURGICAL,NPI-2,Surgery,PHOENIX,AZ
1295225761,BK BEHAVIORAL HEALTH CENTER,NPI-2,Counselor  Addiction (Substance Use Disorder),LAUREL,MD
1295407468,UNITED EG LLC,NPI-2,Clinical Medical Laboratory,LOMBARD,IL
1295436830,ARIZONA BEHAVIORAL HEALTH CLINIC LLC,NPI-2,Clinic/Center  Rehabilitation  Substance Use Disorder,SCOTTSDALE,AZ
1295752384,NORTHERN VALLEY INDIAN HEALTH INC,NPI-2,Clinic/Center,WILLOWS,CA
1295844454,SERVICES TO ENHANCE POTENTIAL,NPI-2,Day Training  Developmentally Disabled Services,DEARBORN,MI
1295866499,STEP BY STEP INC.,NPI-2,Voluntary or Charitable,WILKES BARRE,PA
1295869428,COMMONWEALTH OF MASSACHUSETTS-DDS,NPI-2,Case Management,TAUNTON,MA
1295896538,HOMECARE MANAGEMENT CORPORATION,NPI-2,Community/Behavioral Health,SPINDALE,NC
1295898393,ALLIANCE HEALTHCARE SERVICES,NPI-2,Community/Behavioral Health,MEMPHIS,TN
1295937712,LIFESKILLS  INC,NPI-2,Community/Behavioral Health,BOWLING GREEN,KY
1295994804,SPURWINK SERVICES,NPI-2,Residential Treatment Facility  Emotionally Disturbed Children,PORTLAND,ME
1306081476,INTEGRATED LIVING  INC.,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),CLINTON TOWNSHIP,MI
1306081872,TRI VALLEY CARE  INC,NPI-2,Case Management,HARRISBURG,PA
1306103759,ARC PRIMARY CARE  LLC.,NPI-2,Home Health,EDINBURG,TX
1306182548,ALIVIA SPECIALTY  LLC,NPI-2,Pharmacy  Specialty Pharmacy,GUAYNABO,PR
1306299714,YUKON-KUSKOKWIM HEALTH CORPORATION,NPI-2,Transportation Broker,BETHEL,AK
1306303680,A CIRCLE OF CARE COLORADO  LLC.,NPI-2,In Home Supportive Care,COLORADO SPRINGS,CO
1306329305,ONE CALL GOVERNMENT SOLUTIONS  LLC,NPI-2,Transportation Broker,JACKSONVILLE,FL
1306342571,SAFEWAY MEDICAL TRANSPORTATION,NPI-2,Non-emergency Medical Transport (VAN),ALBUQUERQUE,NM
1306437223,EAGLE QUEST,NPI-2,Foster Care Agency,LAS VEGAS,NV
1306801113,ALLINA HEALTH SYSTEM,NPI-2,Ambulance,SAINT PAUL,MN
1306875695,YOUTH VILLAGES  INC.,NPI-2,Community/Behavioral Health,BARTLETT,TN
1306878137,PEDIATRIC SERVICES OF AMERICA  LLC,NPI-2,Nursing Care,PIEDMONT,SC
1306878798,ACT HOME HEALTH SERVICES  INC,NPI-2,Home Health,PHILADELPHIA,PA
1306884069,UNITED YOUTH CARE SERVICES,NPI-2,Clinical Medical Laboratory,GREENSBORO,NC
1316029549,HERITAGE HOME HEALTHCARE SERVICES  INC.,NPI-2,Home Health,ALBUQUERQUE,NM
1316061658,KENTUCKY RIVER COMMUNITY CARE  INC,NPI-2,Specialist,HAZARD,KY
1316075369,SOAR 365,NPI-2,Day Training  Developmentally Disabled Services,RICHMOND,VA
1316085558,CHRIST CENTERED HOMES  INC.,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,JACKSON,MI
1316158983,A.W. HOLDINGS  LLC,NPI-2,Psychologist  Intellectual & Developmental Disabilities,FORT WAYNE,IN
1316306897,ARIEL CLINICAL SERVICES,NPI-2,Day Training  Developmentally Disabled Services,GRAND JUNCTION,CO
1316327315,APLUSCARE  LLC,NPI-2,Community/Behavioral Health,EAST BRUNSWICK,NJ
1316332067,THE RECOVERY CENTER  LLC,NPI-2,Counselor  Addiction (Substance Use Disorder),JACKSON,KY
1316336571,JOYFUL ADULT MEDICAL DAY CARE CENTER,NPI-2,Preferred Provider Organization,BALTIMORE,MD
1316450638,WESLEY FAMILY SERVICES,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),WILKINSBURG,PA
1316488745,KIDS FIRST E.I. INC.,NPI-2,Early Intervention Provider Agency,BRONX,NY
1316943566,ACADIAN AMBULANCE SERVICE  INC.,NPI-2,Ambulance  Air Transport,LAFAYETTE,LA
1316969934,COUNTY OF LOS ANGELES AUDITOR CONTROLLER,NPI-2,General Acute Care Hospital,SYLMAR,CA
1316979834,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,NPI-2,Health Maintenance Organization,RIVERSIDE,CA
1326004466,PATHFINDER  INC.,NPI-2,Day Training  Developmentally Disabled Services,JACKSONVILLE,AR
1326031022,WHITE DEER RUN  LLC,NPI-2,Community/Behavioral Health,ALLENWOOD,PA
1326033929,COUNTY OF SANTA CLARA,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),SAN JOSE,CA
1326111337,ALABAMA DEPARTMENT OF SENIOR SERVICES,NPI-2,Home Health,MONTGOMERY,AL
1326120528,COMMUNITY CHOICES  INC.,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,REDFORD,MI
1326168840,DEPARTMENT OF HEALTH AND SENIOR SERVICES,NPI-2,Specialist,TRENTON,NJ
1326188509,BALTIMORE COUNTY PUBLIC SCHOOLS,NPI-2,Local Education Agency (LEA),TOWSON,MD
1326250150,MASSACHUSETTS REHABILITATION COMMISSION,NPI-2,Community/Behavioral Health,WORCESTER,MA
1326452707,AMPLIFIED THERAPY INC,NPI-2,Early Intervention Provider Agency,CLIFF,NM
1326502865,WE CARE DAILY CLINICS LLC,NPI-2,Clinic/Center  Methadone Clinic,AUBURN,WA
1326538893,SPRINGHEALTH BEHAVIORAL HEALTH AND INTEGRATED CARE CALIFORNIA  LLC,NPI-2,Community/Behavioral Health,CORONA,CA
1326657602,COMMUNITY LIVING SERVICES  INC,NPI-2,Community/Behavioral Health,FARGO,ND
1326698564,DEL RIO CARE  LLC,NPI-2,Assisted Living Facility,SAN DIEGO,CA
1336117621,AMBERCARE HOME HEALTH CARE CORPORATION,NPI-2,Home Health,ALBUQUERQUE,NM
1336135912,COUNTY OF SANTA CLARA,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),SAN JOSE,CA
1336225960,INDEPENDENT HOME CARE INC.,NPI-2,Home Health,COLUMBUS,OH
1336290964,CITY OF LAS VEGAS,NPI-2,Ambulance,LAS VEGAS,NV
1336326974,COUNTY OF SANTA CLARA,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),SUNNYVALE,CA
1336336122,KIDS FOR THE FUTURE OF MARION,NPI-2,Developmental Therapist,MARION,AR
1336361427,UNIVERSAL MENTAL HEALTH SERVICES  INC.,NPI-2,Community/Behavioral Health,LENOIR,NC
1336435031,WEST BAY RESIDENTIAL SERVICES INC.,NPI-2,Day Training  Developmentally Disabled Services,WARWICK,RI
1336465392,UNIQUE MED HOME HEALTH CARE SERVICES  INC.,NPI-2,Home Health,WEST PALM BEACH,FL
1336475532,RESIDENTIAL OPTIONS  INC.,NPI-2,Behavior Analyst,LANSING,MI
1336587559,MKJD  LLC,NPI-2,Clinic/Center  Rehabilitation,BATESVILLE,AR
1336762269,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER,NPI-2,Clinical Medical Laboratory,SHREVEPORT,LA
1346208949,ACCREDO HEALTH GROUP INC,NPI-2,Pharmacy,MEMPHIS,TN
1346218294,BOSTON MEDICAL CENTER CORPORATION,NPI-2,General Acute Care Hospital,BOSTON,MA
1346285657,UNIVERSITY OF ROCHESTER,NPI-2,General Acute Care Hospital,ROCHESTER,NY
1346321643,LIFESKILLS  INC.,NPI-2,Day Training  Developmentally Disabled Services,HOPKINSVILLE,KY
1346328507,CONTRA COSTA COUNTY,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),CONCORD,CA
